EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,StockOptionLevel,PercentSalaryHike,DistanceFromHome,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,RelationshipSatisfaction,PerformanceRating,TrainingTimesLastYear,BusinessTravel,OverTime,NumCompaniesWorked,JobInvolvement,Attrition
EMP000001,32,Male,Married,5,Technical Degree,Operations,Operations Manager,3,0,0,0,0,5827,1,16,11,2,4,3,3,3,5,Non-Travel,No,0,3,0
EMP000002,27,Male,Married,3,Medical,R&D,Research Director,2,3,2,2,0,5592,0,5,5,2,3,4,3,1,1,Non-Travel,No,2,4,0
EMP000003,34,Female,Married,4,Life Sciences,R&D,Laboratory Technician,2,0,0,0,0,5111,0,16,8,4,2,2,3,3,2,Travel_Rarely,No,1,3,0
EMP000004,24,Male,Single,3,Technical Degree,IT,Manager,2,1,0,0,0,4551,1,11,10,3,1,3,1,4,3,Travel_Frequently,No,0,3,1
EMP000005,40,Female,Single,2,Other,HR,Human Resources,3,8,1,1,1,9856,0,13,7,4,4,2,4,2,2,Travel_Rarely,No,0,2,0
EMP000006,22,Female,Single,4,Medical,R&D,Research Director,1,4,1,1,1,3853,0,11,17,3,4,2,4,1,3,Non-Travel,Yes,1,2,0
EMP000007,38,Female,Married,5,Medical,HR,Human Resources,3,9,2,2,0,10472,0,11,12,3,4,2,2,2,2,Travel_Rarely,No,0,2,0
EMP000008,25,Male,Married,3,Marketing,HR,Manager,3,7,0,0,0,9138,1,11,32,3,2,4,3,3,2,Travel_Rarely,Yes,0,3,0
EMP000009,25,Female,Married,4,Life Sciences,IT,Manager,2,5,5,5,3,5350,0,12,5,4,3,4,2,4,6,Travel_Rarely,No,2,2,1
EMP000010,33,Male,Married,4,Technical Degree,IT,Data Scientist,1,15,0,0,0,5997,0,5,6,1,4,2,2,3,4,Travel_Rarely,No,0,4,0
EMP000011,39,Male,Married,3,Technical Degree,Operations,Operations Specialist,2,3,1,1,0,4968,0,16,22,3,2,2,2,1,3,Travel_Rarely,No,0,4,0
EMP000012,21,Female,Single,4,Medical,Operations,Operations Specialist,1,3,0,0,0,3193,1,9,7,2,3,4,4,4,1,Travel_Frequently,No,1,3,0
EMP000013,32,Male,Married,3,Life Sciences,R&D,Research Director,3,14,0,0,0,9288,2,10,7,2,3,3,3,4,5,Travel_Rarely,No,3,2,0
EMP000014,28,Male,Married,3,Life Sciences,Sales,Sales Representative,2,6,1,1,1,6100,0,7,17,3,1,2,4,3,1,Travel_Frequently,No,1,2,0
EMP000015,23,Female,Single,3,Marketing,Sales,Sales Executive,2,5,0,0,0,6094,0,13,14,2,4,3,3,4,6,Travel_Frequently,Yes,0,4,1
