feature,importance
YearsAtCompany,0.7579575247250895
OverTime,0.646039397145004
Age,0.5964430925948876
MonthlyIncome,0.5354176558133316
AgeGroup_36-45,0.45190628321206344
BusinessTravel_Travel_Frequently,0.4037426745092072
ExperienceRatio,0.4017154856075539
StockOptionLevel,0.3969577687999097
IncomePerLevel,0.3518129533925175
AvgSatisfaction,0.32647903425654906
AgeGroup_26-35,0.30966743287442866
JobSatisfaction,0.28495690364568693
Department_Sales,0.28095558484929434
PromotionRate,0.26030334722055865
IncomeGroup_Very High,0.25256139902056407
WorkLifeBalance,0.2524435669883607
MaritalStatus_Single,0.24790930542766493
TenureGroup_6-10,0.23859038533232121
JobRole_Sales Executive,0.23157720180153457
AgeGroup_46+,0.22407676524588405
JobLevel,0.21770504648240294
JobRole_Manager,0.21766807692604875
TenureGroup_3-5,0.20763592192082198
JobInvolvement,0.1935953221124674
JobRole_Sales Representative,0.1897620500894666
Department_R&D,0.13853015725452109
YearsWithCurrManager,0.1307095576703191
BusinessTravel_Travel_Rarely,0.12389766972914053
IncomeGroup_High,0.12386889281798392
EducationField_Medical,0.12097222937893745
JobRole_Laboratory Technician,0.11834600226398406
IncomeGroup_Medium,0.11569146942244497
EducationField_Marketing,0.10917797217869721
TenureGroup_10+,0.10908517440971004
Education,0.10804065980451315
EnvironmentSatisfaction,0.10746692196305942
PerformanceRating,0.09367280177756843
EducationField_Life Sciences,0.0909132285118764
YearsSinceLastPromotion,0.08700312945987554
EducationField_Other,0.0844120860376341
JobRole_Software Engineer,0.08114258424463397
Department_IT,0.07756588856307738
JobRole_Research Director,0.07742566494943959
CareerStagnation,0.06653796549563655
PercentSalaryHike,0.06549974148918762
JobRole_Marketing Manager,0.06492593717256372
EducationField_Technical Degree,0.06305348730722121
JobRole_Research Scientist,0.05554827689280731
JobRole_Operations Manager,0.0526054851420156
PoorWorkLife,0.05240055845277569
MaritalStatus_Married,0.05212653612302265
YearsInCurrentRole,0.0505061545110247
JobRole_Human Resources,0.04607623746765423
Department_Marketing,0.043491568034025894
Department_Operations,0.03619424421538097
Gender,0.03298644674495707
NumCompaniesWorked,0.021798166921570175
TrainingTimesLastYear,0.014219180131890163
RelationshipSatisfaction,0.011605483132997642
DistanceFromHome,0.005854883904408279
JobRole_Operations Specialist,0.003980882574392915
JobRole_Marketing Specialist,0.003768386423868862
